ID,ROCK NAME,TIO2(WT%),AL2O3(WT%),Y(PPM),ZR(PPM),AU(PPB),NB(PPM),LA(PPM),CE(PPM),SM(PPM),YB(PPM),TH(PPM)
2076,DACITE,0.5,14.99,36.3,69.5,,1.7,3.7,15.7,,3,0.2
2077,DACITE,0.55,13.59,20,57,,6.1,9.244,18.815,2.741,2.15,1.519
2078,RHYOLITE,0.71,15.49,55.6,122.2,9,0.9,4.84,14.3,,5.47,0.441
2080,DACITE,0.73,14.57,39.6,96.8,,1.2,4.26,12.1,3.84,4.18,1.4
2081,DACITE,0.65,15.24,41.7,150.5,,3.51,8.57,22.35,,4.09,1.29
2082,RHYOLITE,0.73,14.57,39.6,96.8,,1.2,4.26,12.1,,4.18,1.4
2083,DACITE,0.64,14.2,44.7,154,,3.93,10.7,27.8,5.48,4.96,2.32
2084,DACITE,0.59,15.4,30.7,133,,3.71,12.1,25.62,,3.08,3.272
2085,DACITE,0.61,13.65,31,75,,1,4.2,13.1,3.1,3.85,0.54
2086,RHYOLITE,0.28,12.62,11.8,83,,1.08,3.35,7.11,,1.22,0.72
2091,DACITE,0.68,15.28,42.6,157.4,,3.73,,24.82,,4.01,1.31
2092,DACITE,0.85,15.4,50.1,234,0,15.29,26.67,54.28,,4.79,5.41
2095,ANDESITE,0.61,14.8,37.6,197,,6.65,,46.9,5.57,3.73,6.66
2096,DACITE,0.85,15.2,51,233,,15.34,26.67,54.04,8.3,4.74,5.17
2097,ANDESITE,0.371625893,12.66445271,9.115388313,32.46132747,,0.380822443,1.57392399,3.55746913,1.459496921,1.049873216,0.088164489
2098,RHYOLITE,0.562950386,15.68579889,41.5966386,245.5295893,7,6.700467853,18.25387124,38.4690917,6.047104848,4.281678556,6.515062405
