pillar_id;area;heterogeneidad_geologica;calidad_roca;tiempo_solicitacion;altura_extraida;densidad_energia_sismica;resistencia_traccion;modulo_general_deformacion
NS_44;286.5643;Baja;Calidad mala;23.66666667;270;77.85187028;0.25028;15.6056
NS_45;286.5643;Media;Calidad muy mala;1;269;94.9982478;0.268;15.906
NS_46;286.5643;Baja;Calidad muy mala;1.333333333;268;104.0508722;0.184;13.13
NS_47;286.5643;Alta;Calidad muy mala;1.666666667;267;108.3155933;0.24175;15.0385
NS_48;286.5643;Media;Calidad mala;3;266;104.6045685;0.28375;16.4265
NS_49;286.5643;Baja;Calidad muy mala;3;265;90.30396466;0.184;13.13
NS_50;286.5643;Baja;Calidad muy mala;3.333333333;266;79.65071847;0.184;13.13
NS_51;286.5643;Baja;Calidad muy mala;3.333333333;268;81.74639715;0.184;13.13
NS_52;286.5643;Baja;Calidad muy mala;3.333333333;271;69.53048416;0.184;13.13
NS_53;286.5643;Baja;Calidad muy mala;3.333333333;275;55.31934495;0.184;13.13
NS_54;286.5643;Baja;Calidad muy mala;25.66666667;273;49.05267054;0.184;13.13
NS_55;286.5643;Baja;Calidad muy mala;23.33333333;271;69.87420456;0.245;15.47
NS_56;286.5643;Baja;Calidad muy mala;1.333333333;270;83.9607077;0.24317;15.3998
NS_57;286.5643;Alta;Calidad muy mala;1.333333333;269;95.66437537;0.184;13.13
NS_58;286.5643;Muy alta;Calidad muy mala;1.666666667;268;97.91870732;0.1945;13.477
NS_59;286.5643;Media;Calidad muy mala;2;267;95.65927824;0.27325;16.0795
NS_60;286.5643;Baja;Calidad muy mala;3.333333333;266;85.59479558;0.184;13.13
NS_61;286.5643;Baja;Calidad muy mala;3.333333333;267;75.52144392;0.184;13.13
NS_62;286.5643;Baja;Calidad muy mala;3.666666667;268;70.40080571;0.184;13.13
NS_63;286.5643;Baja;Calidad muy mala;3.333333333;272;64.31151096;0.184;13.13
NS_64;286.5643;Baja;Calidad muy mala;3.666666667;278;54.41018599;0.184;13.13
NS_65;286.5643;Baja;Calidad muy mala;25.66666667;278;48.57948282;0.184;13.13
NS_66;248.9047;Media;Calidad mala;23.33333333;273;63.23541508;0.28;16.45
NS_67;286.5643;Baja;Calidad mala;23.33333333;271;74.16204951;0.2492;15.5876
NS_68;248.9047;Baja;Calidad muy mala;1.333333333;270;85.24678579;0.19552;13.5284
NS_69;286.5643;Alta;Calidad muy mala;1.666666667;269;88.31887014;0.184;13.13
NS_70;248.9047;Baja;Calidad muy mala;1.666666667;268;88.52868444;0.184;13.13
NS_71;286.5643;Baja;Calidad muy mala;2;267;80.43481829;0.184;13.13
NS_72;248.9047;Baja;Calidad muy mala;3.333333333;268;71.88510415;0.184;13.13
NS_73;286.5643;Baja;Calidad muy mala;3.333333333;269;65.60212531;0.184;13.13
NS_74;248.9047;Baja;Calidad muy mala;3.666666667;273;60.03071672;0.184;13.13
NS_75;286.5643;Baja;Calidad muy mala;3.666666667;279;53.18414365;0.184;13.13
NS_76;248.9047;Baja;Calidad muy mala;25.66666667;282;48.00879978;0.184;13.13
NS_77;286.5643;Media;Calidad muy mala;23.33333333;272;66.4972966;0.245;15.47
NS_78;286.5643;Baja;Calidad muy mala;1.333333333;271;75.15769179;0.2182;14.3404
NS_79;286.5643;Baja;Calidad muy mala;1.666666667;270;79.40967694;0.184;13.13
NS_80;286.5643;Media;Calidad muy mala;2;269;81.40829945;0.184;13.13
NS_81;286.5643;Baja;Calidad muy mala;2;268;75.34121734;0.184;13.13
NS_82;286.5643;Baja;Calidad muy mala;2.333333333;268;68.43186091;0.184;13.13
NS_83;286.5643;Baja;Calidad muy mala;3.333333333;270;62.45151519;0.184;13.13
NS_84;286.5643;Baja;Calidad muy mala;3.666666667;273;57.07458762;0.184;13.13
NS_85;286.5643;Baja;Calidad muy mala;4;280;51.79807974;0.184;13.13
NS_86;286.5643;Baja;Calidad muy mala;25.66666667;285;47.40974009;0.184;13.13
NS_87;286.5643;Media;Calidad mala;23.33333333;274;60.71802799;0.301;17.038
NS_88;286.5643;Baja;Calidad muy mala;23.33333333;272;67.96447502;0.24145;15.2758
NS_89;250.498;Baja;Calidad muy mala;1.666666667;271;72.18996559;0.184;13.13
NS_90;250.498;Media;Calidad muy mala;2;270;73.76940283;0.184;13.13
NS_91;250.498;Baja;Calidad muy mala;2.333333333;269;70.71679677;0.184;13.13
NS_92;250.498;Baja;Calidad muy mala;2;269;65.20012837;0.184;13.13
NS_93;250.498;Baja;Calidad muy mala;3.333333333;270;59.75296111;0.184;13.13
NS_94;250.498;Baja;Calidad muy mala;4;273;54.90722316;0.184;13.13
NS_95;250.498;Baja;Calidad muy mala;4;280;50.51169844;0.184;13.13
NS_96;250.498;Baja;Calidad muy mala;25.66666667;287;46.87268938;0.184;13.13
NS_97;250.498;Baja;Calidad muy mala;25.66666667;286;44.11120998;0.184;13.13
NS_98;306.7354;Baja;Calidad mala;23.33333333;273;63.16059605;0.2562;15.7836
NS_99;306.7354;Baja;Calidad muy mala;1.666666667;271;66.07337619;0.2023;13.832
NS_100;306.7354;Media;Calidad muy mala;2;270;67.63346086;0.184;13.13
NS_101;306.7354;Baja;Calidad muy mala;2.333333333;270;66.12198538;0.184;13.13
NS_102;306.7354;Baja;Calidad muy mala;2.333333333;270;62.12349403;0.184;13.13
NS_103;306.7354;Baja;Calidad muy mala;2.333333333;271;57.49894633;0.184;13.13
NS_104;306.7354;Baja;Calidad muy mala;3.333333333;274;53.08461791;0.184;13.13
NS_105;306.7354;Baja;Calidad muy mala;3.666666667;280;49.33944461;0.184;13.13
NS_106;306.7354;Baja;Calidad muy mala;4.333333333;288;46.39049019;0.184;13.13
NS_107;306.7354;Baja;Calidad muy mala;25.66666667;289;44.22184464;0.184;13.13
NS_108;306.7354;Baja;Calidad muy mala;25.66666667;282;42.57498091;0.184;13.13
NS_109;248.9047;Baja;Calidad regular;23.33333333;274;57.44551414;0.329;17.822
NS_110;295.0845;Baja;Calidad muy mala;3;272;60.85739258;0.23707;15.1658
NS_111;248.9047;Baja;Calidad muy mala;3;271;62.48245416;0.20008;13.6308
NS_112;295.0845;Media;Calidad muy mala;3.333333333;270;61.80196357;0.184;13.13
NS_113;248.9047;Baja;Calidad muy mala;3.666666667;270;58.99404166;0.184;13.13
