x,y,z,area,frec_fracturas,sigma_z,tiraje_prom
1049.7689,63.7574,2346,347.2217,0.297,14.963682,126.71
1083.8459,66.0021,2346,249.7975,0.484,11.395194,130.81
1114.7558,69.9788,2346,237.7749,0.67,10.686178,133.293
1144.5313,73.0731,2346,225.246,1.02,10.718178,134.09
1174.5649,76.5167,2346,228.2101,1.02,10.958857,134.935
1204.6397,80.0107,2346,233.8187,1.02,11.212114,134.674
1234.7044,83.3504,2346,232.3463,3.0085,11.522713,134.388
1264.7089,86.7225,2346,231.8186,3.07,11.114281,132.219
1294.7079,90.0957,2346,231.7818,3.07,11.281858,127.693
1324.7222,93.469,2346,231.7073,3.07,11.507067,126.351
1354.714,96.8368,2346,231.3888,3.07,11.53434,129.905
1384.7196,100.2153,2346,231.6171,3.07,11.832333,142.116
1414.7164,103.5943,2346,231.8941,3.07,11.92237,150.512
1444.6805,106.9579,2346,231.1914,3.07,12.842508,152.75
1474.6463,110.2078,2346,224.895,3.07,15.3359,153.868
1504.631,113.3912,2346,214.5714,3.07,18.771196,149.95
1504.5092,133.8055,2346,644.9389,3.07,22.167532,148.145
1055.3699,50.4665,2346,234.0911,0.3179999999999999,14.674816,128.247
1085.0529,54.0001,2346,226.7466,0.4705,11.397086,130.393
1115.6016,57.3916,2346,226.5964,0.67,10.699494,132.211
1145.4642,60.6225,2346,232.6882,1.02,10.683026,135.054
1175.4019,64.0295,2346,230.8689,1.02,10.967338,135.718
1205.345,67.3965,2346,230.8391,1.02,11.20798,137.104
1235.3412,70.7698,2346,230.8411,2.66,11.521436,136.935
1258.3098,73.6721,2346,118.083,3.07,11.635316,137.025
1274.3785,74.2684,2346,85.475,3.07,11.173072,133.432
1295.333,77.5251,2346,230.7426,3.07,11.357562,130.169
1325.3472,80.8906,2346,230.8994,3.07,11.470492,128.258
1355.3487,84.2655,2346,230.8686,3.07,11.618442,130.925
1385.3431,87.6388,2346,230.8866,3.07,11.724046,145.112
1415.3437,91.0125,2346,230.8791,3.07,11.738537,153.486
1445.3228,94.386,2346,230.535,3.07,12.545528,155.813
1475.3153,97.9299,2346,220.3039,3.07,14.37673,157.455
1505.5358,103.4702,2346,101.8166,2.9979999999999998,17.41698,151.63
1686.9626,137.4555,2346,441.6789,0.67,29.742796,150.481
1656.3761,136.1323,2346,495.838,0.67,27.99595,150.044
